"155","TRX062024.0049","BR006","15000","0000-00-00 00:00:00"
"156","TRX062024.0049","BR215","15000","0000-00-00 00:00:00"
"157","TRX062024.0050","BR220","15000","0000-00-00 00:00:00"
"158","TRX062024.0051","BR241","22000","0000-00-00 00:00:00"
"159","TRX062024.0051","BR235","22000","0000-00-00 00:00:00"
"160","TRX062024.0051","BR252","37000","0000-00-00 00:00:00"
"161","TRX062024.0051","BR182","3200","0000-00-00 00:00:00"
"162","TRX062024.0052","BR021","27000","0000-00-00 00:00:00"
"163","TRX062024.0052","BR220","17000","0000-00-00 00:00:00"
"164","TRX062024.0052","BR241","11000","0000-00-00 00:00:00"
"165","TRX062024.0053","BR177","25000","0000-00-00 00:00:00"
"166","TRX062024.0053","BR168","3000","0000-00-00 00:00:00"
"167","TRX062024.0053","BR153","9000","0000-00-00 00:00:00"
"168","TRX062024.0053","BR009","35000","0000-00-00 00:00:00"
"169","TRX062024.0053","BR010","28000","0000-00-00 00:00:00"
"170","TRX062024.0053","BR018","22000","0000-00-00 00:00:00"
"171","TRX062024.0053","BR230","38000","0000-00-00 00:00:00"
"172","TRX062024.0053","BR021","26000","0000-00-00 00:00:00"
"173","TRX062024.0054","BR220","17000","0000-00-00 00:00:00"
"174","TRX062024.0055","BR014","45000","0000-00-00 00:00:00"
"175","TRX062024.0055","BR168","3000","0000-00-00 00:00:00"
"176","TRX062024.0056","BR218","17000","0000-00-00 00:00:00"
"177","TRX062024.0056","BR009","35000","0000-00-00 00:00:00"
"178","TRX062024.0056","BR152","3000","0000-00-00 00:00:00"
"179","TRX062024.0056","BR117","1100","0000-00-00 00:00:00"
"180","TRX062024.0057","BR250","64000","0000-00-00 00:00:00"
"181","TRX062024.0058","BR195","16000","0000-00-00 00:00:00"
"182","TRX062024.0059","BR006","17000","0000-00-00 00:00:00"
"183","TRX062024.0060","BR241","11000","0000-00-00 00:00:00"
"184","TRX062024.0060","BR195","16000","0000-00-00 00:00:00"
"185","TRX062024.0061","BR093","1100","0000-00-00 00:00:00"
"186","TRX062024.0061","BR253","13000","0000-00-00 00:00:00"
"187","TRX062024.0062","BR026","30000","0000-00-00 00:00:00"
"188","TRX062024.0063","BR168","3000","0000-00-00 00:00:00"
"189","TRX062024.0064","BR254","7500","0000-00-00 00:00:00"
"190","TRX062024.0064","BR158","5000","0000-00-00 00:00:00"
"191","TRX062024.0064","BR087","500","0000-00-00 00:00:00"
"192","TRX062024.0064","BR103","3000","0000-00-00 00:00:00"
"193","TRX062024.0064","BR164","10000","0000-00-00 00:00:00"
"194","TRX062024.0064","BR022","68000","0000-00-00 00:00:00"
"195","TRX062024.0064","BR170","6000","0000-00-00 00:00:00"
"196","TRX062024.0064","BR182","6000","0000-00-00 00:00:00"
"197","TRX062024.0064","BR175","6000","0000-00-00 00:00:00"
"198","TRX062024.0064","BR019","25000","0000-00-00 00:00:00"
"199","TRX062024.0064","BR009","136000","0000-00-00 00:00:00"
"200","TRX062024.0064","BR020","30000","0000-00-00 00:00:00"
"201","TRX062024.0064","BR117","3000","0000-00-00 00:00:00"
"202","TRX062024.0064","BR140","4000","0000-00-00 00:00:00"
"203","TRX062024.0064","BR149","8000","0000-00-00 00:00:00"
"204","TRX062024.0064","BR188","5000","0000-00-00 00:00:00"
"205","TRX062024.0064","BR017","27000","0000-00-00 00:00:00"
"206","TRX062024.0065","BR006","16000","0000-00-00 00:00:00"
"207","TRX062024.0066","BR013","78000","0000-00-00 00:00:00"
"208","TRX062024.0066","BR255","12000","0000-00-00 00:00:00"
"209","TRX062024.0066","BR118","8000","0000-00-00 00:00:00"
"210","TRX062024.0067","BR022","18000","0000-00-00 00:00:00"
"211","TRX062024.0067","BR168","3000","0000-00-00 00:00:00"
"212","TRX062024.0068","BR220","17000","0000-00-00 00:00:00"
"213","TRX062024.0069","BR065","22000","0000-00-00 00:00:00"
"214","TRX062024.0070","BR065","22000","0000-00-00 00:00:00"
"215","TRX062024.0071","BR178","40000","0000-00-00 00:00:00"
"216","TRX062024.0072","BR028","12000","0000-00-00 00:00:00"
"217","TRX062024.0073","BR153","21000","0000-00-00 00:00:00"
"218","TRX062024.0073","BR256","25000","0000-00-00 00:00:00"
"219","TRX062024.0074","BR257","45000","0000-00-00 00:00:00"
"220","TRX062024.0075","BR168","6000","0000-00-00 00:00:00"
"221","TRX062024.0075","BR173","3000","0000-00-00 00:00:00"
"222","TRX062024.0075","BR043","48000","0000-00-00 00:00:00"
"223","TRX062024.0075","BR044","53000","0000-00-00 00:00:00"
"224","TRX062024.0075","BR069","8500","0000-00-00 00:00:00"
"225","TRX062024.0075","BR051","20000","0000-00-00 00:00:00"
"226","TRX062024.0076","BR118","4500","0000-00-00 00:00:00"
"227","TRX062024.0077","BR168","3000","0000-00-00 00:00:00"
"228","TRX062024.0077","BR014","45000","0000-00-00 00:00:00"
"229","TRX062024.0078","BR026","60000","0000-00-00 00:00:00"
"230","TRX062024.0079","BR195","15000","0000-00-00 00:00:00"
"231","TRX062024.0079","BR051","20000","0000-00-00 00:00:00"
"232","TRX062024.0080","BR009","34000","0000-00-00 00:00:00"
"233","TRX062024.0080","BR168","3000","0000-00-00 00:00:00"
"234","TRX062024.0080","BR017","27000","0000-00-00 00:00:00"
"235","TRX062024.0080","BR258","12000","0000-00-00 00:00:00"
"236","TRX062024.0081","BR259","937500","0000-00-00 00:00:00"
"237","TRX062024.0081","BR226","14000","0000-00-00 00:00:00"
"238","TRX062024.0081","BR218","34000","0000-00-00 00:00:00"
"239","TRX062024.0081","BR224","34000","0000-00-00 00:00:00"
"240","TRX062024.0081","BR168","12000","0000-00-00 00:00:00"
"241","TRX062024.0081","BR220","34000","0000-00-00 00:00:00"
"242","TRX062024.0081","BR153","21000","0000-00-00 00:00:00"
"243","TRX062024.0081","BR006","17000","0000-00-00 00:00:00"
"244","TRX062024.0081","BR170","6000","0000-00-00 00:00:00"
"245","TRX062024.0081","BR174","3000","0000-00-00 00:00:00"
"246","TRX062024.0082","BR127","4400","0000-00-00 00:00:00"
"247","TRX062024.0083","BR220","17000","0000-00-00 00:00:00"
"248","TRX062024.0084","BR207","3000","0000-00-00 00:00:00"
"249","TRX062024.0084","BR208","28000","0000-00-00 00:00:00"
"250","TRX062024.0085","BR010","56000","0000-00-00 00:00:00"
"251","TRX062024.0085","BR015","28000","0000-00-00 00:00:00"
"252","TRX062024.0085","BR260","19000","0000-00-00 00:00:00"
"253","TRX062024.0086","BR065","12000","0000-00-00 00:00:00"
"254","TRX062024.0087","BR018","22000","0000-00-00 00:00:00"
"255","TRX062024.0088","BR009","35000","0000-00-00 00:00:00"
"256","TRX062024.0089","BR093","2000","0000-00-00 00:00:00"
"257","TRX062024.0089","BR235","10000","0000-00-00 00:00:00"
"258","TRX062024.0090","BR262","15000","0000-00-00 00:00:00"
"259","TRX062024.0090","BR241","11000","0000-00-00 00:00:00"
"260","TRX062024.0090","BR235","11000","0000-00-00 00:00:00"
"261","TRX062024.0091","BR011","34000","0000-00-00 00:00:00"
"262","TRX062024.0092","BR261","11000","0000-00-00 00:00:00"
"263","TRX062024.0093","BR168","3000","0000-00-00 00:00:00"
"264","TRX062024.0093","BR024","15000","0000-00-00 00:00:00"
"265","TRX062024.0093","BR250","90000","0000-00-00 00:00:00"
"266","TRX062024.0093","BR098","4000","0000-00-00 00:00:00"
